Train,Test,Model,Extras,Folds,Training Accuracy,Test Accuracy,Training sentences,Testing sentences,OOV Accuracy,Time (sec)
pos/atis,,hmm,false,10,0.88714,0.86775,461,116,0.22727,4.586
pos/atis,,hmm,false,10,0.88623,0.87640,461,116,0.16667,2.872
pos/atis,,hmm,false,10,0.88439,0.85890,461,116,0.17073,3.092
pos/atis,,hmm,false,10,0.88246,0.86463,461,116,0.23529,2.586
pos/atis,,hmm,false,10,0.88247,0.88318,461,116,0.19048,2.787
pos/atis,,hmm,false,10,0.89208,0.86976,461,116,0.21429,2.924
pos/atis,,hmm,false,10,0.88504,0.84096,461,116,0.17143,2.831
pos/atis,,hmm,false,10,0.89268,0.85156,461,116,0.20588,2.620
pos/atis,,hmm,false,10,0.88635,0.87856,461,116,0.15789,2.776
pos/atis,,hmm,false,10,0.89685,0.85492,461,116,0.06250,2.799
pos/atis,,crf,false,10,0.99885,0.94200,461,116,0.31818,86.821
pos/atis,,crf,false,10,0.99856,0.94157,461,116,0.23333,84.080
pos/atis,,crf,false,10,0.99884,0.91937,461,116,0.21951,84.201
pos/atis,,crf,false,10,0.99855,0.93341,461,116,0.35294,86.654
pos/atis,,crf,false,10,0.99914,0.92874,461,116,0.23810,85.471
pos/atis,,crf,false,10,0.99855,0.93929,461,116,0.39286,87.372
pos/atis,,crf,false,10,0.99858,0.90602,461,116,0.17143,90.856
pos/atis,,crf,false,10,0.99942,0.92411,461,116,0.32353,86.147
pos/atis,,crf,false,10,0.99887,0.93804,461,116,0.26316,88.440
pos/atis,,crf,false,10,0.99915,0.90647,461,116,0.21875,69.664
pos/atis,,crf,true,10,0.99885,0.94780,461,116,0.28571,90.823
pos/atis,,crf,true,10,0.99856,0.94944,461,116,0.35714,79.406
pos/atis,,crf,true,10,0.99884,0.93169,461,116,0.42857,82.417
pos/atis,,crf,true,10,0.99855,0.94323,461,116,0.53846,84.862
pos/atis,,crf,true,10,0.99914,0.93458,461,116,0.16667,85.062
pos/atis,,crf,true,10,0.99855,0.94592,461,116,0.50000,87.412
pos/atis,,crf,true,10,0.99858,0.93614,461,116,0.44444,87.757
pos/atis,,crf,true,10,0.99942,0.92969,461,116,0.37500,89.062
pos/atis,,crf,true,10,0.99887,0.94672,461,116,0.80000,83.213
pos/atis,,crf,true,10,0.99915,0.93046,461,116,0.50000,75.683
pos/wsj/00,pos/wsj/01,hmm,false,1,0.86179,0.78489,1572,1631,0.37946,51.304
pos/wsj/00,pos/wsj/01,crf,false,1,0.95065,0.75238,1572,1631,0.43098,1604.749
pos/wsj/00,pos/wsj/01,crf,true,1,0.99164,0.86248,1572,1631,0.62642,5608.262
