iteration, added, total, selection, f1
1, 1529, 2777, random, 0.49576
2, 1389, 4166, random, 0.42035
3, 1511, 5677, random, 0.42641
4, 1582, 7259, random, 0.41862
5, 1441, 8700, random, 0.41417
6, 1462, 10162, random, 0.41827
7, 1599, 11761, random, 0.41846
8, 1361, 13122, random, 0.41889
9, 1367, 14489, random, 0.41950
10, 1421, 15910, random, 0.41800
11, 1473, 17383, random, 0.41894
12, 1552, 18935, random, 0.41847
13, 1614, 20549, random, 0.41455
14, 1478, 22027, random, 0.41612
15, 1535, 23562, random, 0.41531
16, 1612, 25174, random, 0.41531
17, 1555, 26729, random, 0.41563
18, 1507, 28236, random, 0.41449
19, 1450, 29686, random, 0.41967
20, 1577, 31263, random, 0.41915
21, 1598, 32861, random, 0.41978
22, 1517, 34378, random, 0.41898
23, 1563, 35941, random, 0.41831
24, 1456, 37397, random, 0.42137
25, 1376, 38773, random, 0.42086
26, 1491, 40264, random, 0.42190
27, 1392, 41656, random, 0.42295
28, 1587, 43243, random, 0.42208
29, 1759, 45002, random, 0.42395
30, 1501, 46503, random, 0.42382
31, 1521, 48024, random, 0.42453
32, 1510, 49534, random, 0.42426
33, 1385, 50919, random, 0.42605
34, 1512, 52431, random, 0.42562
35, 1600, 54031, random, 0.42516
36, 1456, 55487, random, 0.42689
37, 1612, 57099, random, 0.42621
38, 1675, 58774, random, 0.42653
39, 1649, 60423, random, 0.42646
40, 1543, 61966, random, 0.42700
41, 1707, 63673, random, 0.42786
42, 1415, 65088, random, 0.42782
43, 1466, 66554, random, 0.42718
44, 1575, 68129, random, 0.42770
45, 1690, 69819, random, 0.42824
46, 1540, 71359, random, 0.42861
47, 1450, 72809, random, 0.42837
48, 1590, 74399, random, 0.42854
49, 1342, 75741, random, 0.42860
50, 1457, 77198, random, 0.42829
1, 4028, 5276, length, 0.47028
2, 3248, 8524, length, 0.47164
3, 3031, 11555, length, 0.46383
4, 2869, 14424, length, 0.46464
5, 2744, 17168, length, 0.46758
6, 2654, 19822, length, 0.47008
7, 2548, 22370, length, 0.46501
8, 2458, 24828, length, 0.46550
9, 2385, 27213, length, 0.46453
10, 2334, 29547, length, 0.46573
11, 2280, 31827, length, 0.46585
12, 2231, 34058, length, 0.46560
13, 2202, 36260, length, 0.46390
14, 2160, 38420, length, 0.46354
15, 2118, 40538, length, 0.46290
16, 2092, 42630, length, 0.46348
17, 2040, 44670, length, 0.46285
18, 2011, 46681, length, 0.46317
19, 1980, 48661, length, 0.46405
20, 1939, 50600, length, 0.46432
21, 1909, 52509, length, 0.46369
22, 1860, 54369, length, 0.46478
23, 1839, 56208, length, 0.46657
24, 1800, 58008, length, 0.46696
25, 1794, 59802, length, 0.46678
26, 1740, 61542, length, 0.46650
27, 1740, 63282, length, 0.46643
28, 1683, 64965, length, 0.46671
29, 1680, 66645, length, 0.46677
30, 1648, 68293, length, 0.46535
31, 1620, 69913, length, 0.46605
32, 1620, 71533, length, 0.46662
33, 1568, 73101, length, 0.46571
34, 1560, 74661, length, 0.46639
35, 1559, 76220, length, 0.46767
36, 1500, 77720, length, 0.46793
37, 1500, 79220, length, 0.46725
38, 1463, 80683, length, 0.46805
39, 1440, 82123, length, 0.46782
40, 1427, 83550, length, 0.46770
41, 1380, 84930, length, 0.46757
42, 1380, 86310, length, 0.46772
43, 1350, 87660, length, 0.46674
44, 1320, 88980, length, 0.46704
45, 1320, 90300, length, 0.46720
46, 1270, 91570, length, 0.46788
47, 1260, 92830, length, 0.46827
48, 1242, 94072, length, 0.46860
49, 1200, 95272, length, 0.46904
50, 1200, 96472, length, 0.47020
1, 1480, 2728, top, 0.40509
2, 1775, 4503, top, 0.40659
3, 1445, 5948, top, 0.39062
4, 1375, 7323, top, 0.39688
5, 1425, 8748, top, 0.39668
6, 1662, 10410, top, 0.39541
7, 1789, 12199, top, 0.39398
8, 1561, 13760, top, 0.39029
9, 1389, 15149, top, 0.38904
10, 1371, 16520, top, 0.39311
11, 1603, 18123, top, 0.39468
12, 1499, 19622, top, 0.39387
13, 1580, 21202, top, 0.39332
14, 1809, 23011, top, 0.39422
15, 1282, 24293, top, 0.39349
16, 1477, 25770, top, 0.39344
17, 1573, 27343, top, 0.39450
18, 1658, 29001, top, 0.39600
19, 1741, 30742, top, 0.39484
20, 1787, 32529, top, 0.39375
21, 1659, 34188, top, 0.39353
22, 1403, 35591, top, 0.39371
23, 1441, 37032, top, 0.39320
