iteration, added, total, selection, f1, time
1, 4028, 5276, length, 0.56759, 154101
2, 3248, 8524, length, 0.54916, 382749
3, 3031, 11555, length, 0.62728, 706166
4, 2869, 14424, length, 0.64742, 1051824
5, 2744, 17168, length, 0.67465, 1464408
6, 2654, 19822, length, 0.70184, 1969077
7, 2548, 22370, length, 0.70491, 2504793
8, 2458, 24828, length, 0.72509, 3071743
9, 2385, 27213, length, 0.72577, 3640127
10, 2334, 29547, length, 0.73185, 4255426
11, 2280, 31827, length, 0.74008, 4987819
12, 2231, 34058, length, 0.74310, 5799840
13, 2202, 36260, length, 0.74080, 6709334
14, 2160, 38420, length, 0.74799, 7606814
15, 2118, 40538, length, 0.74867, 8364261
16, 2092, 42630, length, 0.74909, 9126452
17, 2040, 44670, length, 0.75274, 9936136
18, 2011, 46681, length, 0.75606, 10714671
19, 1980, 48661, length, 0.75645, 11540342
20, 1939, 50600, length, 0.75843, 12398725
21, 1909, 52509, length, 0.75836, 13240991
22, 1860, 54369, length, 0.76067, 14078466
23, 1839, 56208, length, 0.76198, 15004085
24, 1800, 58008, length, 0.76479, 15926224
25, 1794, 59802, length, 0.76676, 16771734
26, 1740, 61542, length, 0.77024, 17710791
27, 1740, 63282, length, 0.77300, 18619715
28, 1683, 64965, length, 0.77467, 19631512
29, 1680, 66645, length, 0.77534, 20571886
30, 1648, 68293, length, 0.77476, 21512227
31, 1620, 69913, length, 0.77690, 22457286
32, 1620, 71533, length, 0.77678, 23487679
33, 1568, 73101, length, 0.77663, 24459245
1, 3832, 5080, entropy, 0.56484, 427144
2, 2764, 7844, entropy, 0.55672, 1004987
3, 2957, 10801, entropy, 0.56288, 1647889
4, 2426, 13227, entropy, 0.63640, 2649036
5, 2643, 15870, entropy, 0.64895, 3714505
6, 2554, 18424, entropy, 0.69460, 5224365
7, 2435, 20859, entropy, 0.71777, 6879148
8, 2067, 22926, entropy, 0.72229, 8283400
9, 2250, 25176, entropy, 0.71297, 9741363
10, 2118, 27294, entropy, 0.73060, 11248719
11, 2179, 29473, entropy, 0.73392, 12972809
12, 2146, 31619, entropy, 0.72480, 14485946
13, 2131, 33750, entropy, 0.74025, 16062822
14, 2044, 35794, entropy, 0.74204, 17851854
15, 2146, 37940, entropy, 0.74434, 19363850
16, 2006, 39946, entropy, 0.74652, 21057752
17, 1940, 41886, entropy, 0.74876, 22732224
18, 1931, 43817, entropy, 0.75361, 24397716
1, 1480, 2728, top, 0.43969, 514144
2, 1775, 4503, top, 0.49556, 1055113
3, 1445, 5948, top, 0.52775, 1773888
4, 1375, 7323, top, 0.54638, 2567495
5, 1425, 8748, top, 0.55588, 3532551
6, 1662, 10410, top, 0.61001, 4653301
7, 1789, 12199, top, 0.64131, 5887603
1, 1557, 2805, random, 0.46029, 95846
2, 1622, 4427, random, 0.51258, 243495
3, 1346, 5773, random, 0.60412, 393320
4, 1544, 7317, random, 0.62358, 555213
5, 1503, 8820, random, 0.62902, 735176
6, 1454, 10274, random, 0.65717, 963104
7, 1628, 11902, random, 0.66258, 1226140
