iteration, added, total, selection, f1, time
1, 190, 1438, entropy, 0.45812, 298095
2, 377, 1815, entropy, 0.50749, 621712
3, 413, 2228, entropy, 0.40015, 975328
4, 575, 2803, entropy, 0.43067, 1314879
5, 527, 3330, entropy, 0.44036, 1762599
6, 582, 3912, entropy, 0.46163, 2196588
7, 614, 4526, entropy, 0.47735, 2572752
8, 653, 5179, entropy, 0.49548, 2996979
9, 714, 5893, entropy, 0.50846, 3526887
10, 787, 6680, entropy, 0.52643, 4034476
11, 800, 7480, entropy, 0.53758, 4549644
12, 848, 8328, entropy, 0.54369, 5106940
13, 859, 9187, entropy, 0.59621, 5665162
14, 837, 10024, entropy, 0.60623, 6360504
15, 921, 10945, entropy, 0.64244, 7092608
16, 913, 11858, entropy, 0.64945, 7895360
17, 971, 12829, entropy, 0.66077, 8719968
18, 1009, 13838, entropy, 0.66527, 9565781
19, 1047, 14885, entropy, 0.66914, 10425168
20, 1059, 15944, entropy, 0.66707, 11359492
21, 1078, 17022, entropy, 0.67891, 12486872
22, 1101, 18123, entropy, 0.68533, 13654935
23, 1124, 19247, entropy, 0.68942, 14761739
24, 1178, 20425, entropy, 0.69718, 15869682
25, 1163, 21588, entropy, 0.69908, 16993613
26, 1197, 22785, entropy, 0.70533, 18133200
27, 1248, 24033, entropy, 0.70940, 19500558
28, 1250, 25283, entropy, 0.71382, 20965277
29, 1277, 26560, entropy, 0.71951, 22287694
30, 1290, 27850, entropy, 0.72261, 23937611
31, 1285, 29135, entropy, 0.72701, 25694993
32, 1346, 30481, entropy, 0.72790, 27328177
33, 1358, 31839, entropy, 0.73405, 29073307
34, 1360, 33199, entropy, 0.73793, 30801821
35, 1397, 34596, entropy, 0.73996, 32523220
36, 1425, 36021, entropy, 0.73969, 34026233
37, 1449, 37470, entropy, 0.74124, 35573856
38, 1464, 38934, entropy, 0.74445, 37407858
39, 1466, 40400, entropy, 0.74652, 39291098
40, 1544, 41944, entropy, 0.74988, 40919964
41, 1545, 43489, entropy, 0.74917, 42923627
