iteration, added, total, selection, f1, time
1, 3832, 5080, entropy, 0.56484, 387506
2, 2764, 7844, entropy, 0.55672, 942574
3, 2957, 10801, entropy, 0.56288, 1632427
4, 2426, 13227, entropy, 0.63640, 2671383
5, 2643, 15870, entropy, 0.64895, 3738421
6, 2554, 18424, entropy, 0.69460, 5258639
7, 2435, 20859, entropy, 0.71777, 7127718
8, 2067, 22926, entropy, 0.72229, 8536606
9, 2250, 25176, entropy, 0.71297, 10102468
10, 2118, 27294, entropy, 0.73060, 11803031
11, 2179, 29473, entropy, 0.73392, 13478589
12, 2146, 31619, entropy, 0.72480, 15050207
13, 2131, 33750, entropy, 0.74025, 16822708
14, 2044, 35794, entropy, 0.74204, 18555673
15, 2146, 37940, entropy, 0.74434, 20355395
16, 2006, 39946, entropy, 0.74652, 22316697
17, 1940, 41886, entropy, 0.74876, 24304792
18, 1931, 43817, entropy, 0.75361, 26174976
19, 1724, 45541, entropy, 0.75218, 28071604
20, 1941, 47482, entropy, 0.75595, 29810625
21, 1971, 49453, entropy, 0.76277, 31696351
22, 1910, 51363, entropy, 0.76086, 33460503
23, 1716, 53079, entropy, 0.76360, 35351581
24, 1883, 54962, entropy, 0.76408, 37098025
25, 1805, 56767, entropy, 0.76577, 38872924
26, 1782, 58549, entropy, 0.76730, 40793292
27, 1698, 60247, entropy, 0.76784, 42537548
28, 1753, 62000, entropy, 0.77218, 44508010
29, 1623, 63623, entropy, 0.77167, 46396227
1, 4028, 5276, length, 0.56759, 170610
2, 3248, 8524, length, 0.54916, 426054
3, 3031, 11555, length, 0.62728, 779771
4, 2869, 14424, length, 0.64742, 1136430
5, 2744, 17168, length, 0.67465, 1539110
6, 2654, 19822, length, 0.70184, 2047114
7, 2548, 22370, length, 0.70491, 2596284
8, 2458, 24828, length, 0.72509, 3304488
9, 2385, 27213, length, 0.72577, 3985126
10, 2334, 29547, length, 0.73185, 4665931
11, 2280, 31827, length, 0.74008, 5334261
12, 2231, 34058, length, 0.74310, 6081730
13, 2202, 36260, length, 0.74080, 7153410
14, 2160, 38420, length, 0.74799, 8271591
15, 2118, 40538, length, 0.74867, 9158119
16, 2092, 42630, length, 0.74909, 10189616
17, 2040, 44670, length, 0.75274, 11132427
18, 2011, 46681, length, 0.75606, 11986035
19, 1980, 48661, length, 0.75645, 13012367
20, 1939, 50600, length, 0.75843, 14048984
21, 1909, 52509, length, 0.75836, 15002291
22, 1860, 54369, length, 0.76067, 15993251
23, 1839, 56208, length, 0.76198, 16944885
24, 1800, 58008, length, 0.76479, 17966026
25, 1794, 59802, length, 0.76676, 19172117
26, 1740, 61542, length, 0.77024, 20289959
27, 1740, 63282, length, 0.77300, 21377420
28, 1683, 64965, length, 0.77467, 22342646
29, 1680, 66645, length, 0.77534, 23381803
30, 1648, 68293, length, 0.77476, 24550269
31, 1620, 69913, length, 0.77690, 25614611
32, 1620, 71533, length, 0.77678, 26668443
33, 1568, 73101, length, 0.77663, 27653000
34, 1560, 74661, length, 0.77920, 28938242
35, 1559, 76220, length, 0.77969, 30208580
36, 1500, 77720, length, 0.77994, 31550448
37, 1500, 79220, length, 0.78061, 32691666
38, 1462, 80682, length, 0.77977, 33814692
39, 1440, 82122, length, 0.78051, 35116536
40, 1426, 83548, length, 0.78044, 36417530
41, 1380, 84928, length, 0.78056, 37718490
42, 1380, 86308, length, 0.77886, 38950145
43, 1349, 87657, length, 0.78006, 40158663
44, 1320, 88977, length, 0.78156, 41351828
45, 1320, 90297, length, 0.78139, 42473905
46, 1269, 91566, length, 0.78223, 43631955
47, 1260, 92826, length, 0.78402, 44919084
48, 1240, 94066, length, 0.78358, 46208481
1, 1404, 2652, random, 0.46589, 109186
2, 1460, 4112, random, 0.51899, 250412
3, 1610, 5722, random, 0.54311, 401906
4, 1633, 7355, random, 0.56821, 580601
5, 1413, 8768, random, 0.58080, 808426
6, 1685, 10453, random, 0.64727, 1079109
7, 1474, 11927, random, 0.67373, 1382691
8, 1590, 13517, random, 0.68512, 1713882
9, 1540, 15057, random, 0.69171, 2090605
10, 1433, 16490, random, 0.70764, 2451972
11, 1640, 18130, random, 0.69575, 2805083
12, 1584, 19714, random, 0.70370, 3199977
13, 1561, 21275, random, 0.70756, 3637564
14, 1361, 22636, random, 0.71112, 4102077
15, 1419, 24055, random, 0.71432, 4682079
16, 1545, 25600, random, 0.72712, 5409886
17, 1472, 27072, random, 0.73101, 6132640
18, 1488, 28560, random, 0.74055, 6756677
19, 1513, 30073, random, 0.74324, 7363510
20, 1627, 31700, random, 0.74559, 8059099
21, 1542, 33242, random, 0.74945, 8752975
22, 1476, 34718, random, 0.75215, 9348563
23, 1568, 36286, random, 0.75243, 10088344
24, 1553, 37839, random, 0.75036, 10830407
25, 1524, 39363, random, 0.75390, 11671168
26, 1640, 41003, random, 0.75282, 12436208
27, 1335, 42338, random, 0.75227, 13157901
28, 1628, 43966, random, 0.75540, 14032067
29, 1492, 45458, random, 0.75625, 15032922
30, 1598, 47056, random, 0.75867, 15969936
31, 1654, 48710, random, 0.76029, 16887774
32, 1370, 50080, random, 0.76098, 17890478
33, 1607, 51687, random, 0.76319, 18831014
34, 1440, 53127, random, 0.76617, 19783041
35, 1531, 54658, random, 0.76810, 20742574
36, 1605, 56263, random, 0.76956, 21890483
37, 1544, 57807, random, 0.77108, 23093743
38, 1568, 59375, random, 0.77305, 24120963
39, 1559, 60934, random, 0.77200, 25092156
40, 1584, 62518, random, 0.77411, 26107783
41, 1560, 64078, random, 0.77534, 27261174
42, 1484, 65562, random, 0.77545, 28362414
43, 1623, 67185, random, 0.77801, 29370249
44, 1513, 68698, random, 0.78139, 30492280
45, 1689, 70387, random, 0.78177, 31581582
46, 1550, 71937, random, 0.78183, 32741783
47, 1471, 73408, random, 0.78301, 34009734
48, 1732, 75140, random, 0.78363, 35286153
49, 1665, 76805, random, 0.78201, 36442009
50, 1401, 78206, random, 0.78366, 37804359
51, 1657, 79863, random, 0.78421, 39129556
52, 1517, 81380, random, 0.78539, 40465356
53, 1494, 82874, random, 0.78648, 41746630
54, 1490, 84364, random, 0.78615, 43114977
55, 1678, 86042, random, 0.78635, 44456803
56, 1513, 87555, random, 0.78672, 45620824
1, 1480, 2728, top, 0.43969, 563627
2, 1775, 4503, top, 0.49556, 1103193
3, 1445, 5948, top, 0.52775, 1868698
4, 1375, 7323, top, 0.54638, 2678338
5, 1425, 8748, top, 0.55588, 3713169
6, 1662, 10410, top, 0.61001, 4912108
7, 1789, 12199, top, 0.64131, 6296075
8, 1613, 13812, top, 0.65975, 7817426
9, 1389, 15201, top, 0.65971, 9416652
10, 1335, 16536, top, 0.68386, 10944190
11, 1603, 18139, top, 0.69065, 12785000
12, 1488, 19627, top, 0.70035, 14755065
13, 1580, 21207, top, 0.70621, 16835822
14, 1841, 23048, top, 0.70380, 18990853
15, 1282, 24330, top, 0.71538, 21439811
16, 1468, 25798, top, 0.72149, 23871116
17, 1573, 27371, top, 0.72456, 26404291
18, 1657, 29028, top, 0.72913, 29003638
19, 1741, 30769, top, 0.73397, 31416263
20, 1788, 32557, top, 0.73895, 33915475
21, 1659, 34216, top, 0.74053, 36609425
22, 1419, 35635, top, 0.74339, 39297169
23, 1441, 37076, top, 0.74496, 42253621
24, 1580, 38656, top, 0.75039, 44986789
